Time,Hop 1 (192.168.2.254),Hop 2 (AP_SC  -  192.168.152.114)
2023-07-13 14:19:05,2.04,8.76
2023-07-13 14:19:07,2.13,12.13
2023-07-13 14:19:10,1.92,6.12
2023-07-13 14:19:12,1.72,17.28
2023-07-13 14:19:15,7.35,24.98
2023-07-13 14:19:17,3.15,12.46
2023-07-13 14:19:20,1.73,9.47
2023-07-13 14:19:22,2.79,5.08
2023-07-13 14:19:25,6.21,12.24
2023-07-13 14:19:27,11.03,25.72
2023-07-13 14:19:30,7.9,35.81
2023-07-13 14:19:32,6.53,8.6
2023-07-13 14:19:35,11.71,65.55
2023-07-13 14:19:37,7.68,10.12
2023-07-13 14:19:40,4.2,12.77
2023-07-13 14:19:42,15.28,15.75
2023-07-13 14:19:45,16.97,53.39
2023-07-13 14:19:47,99.89,137.7
2023-07-13 14:19:50,6.35,8.58
2023-07-13 14:19:52,5.83,5.63
2023-07-13 14:19:55,4.31,10.53
2023-07-13 14:19:57,2.57,7.53
2023-07-13 14:20:00,8.93,3.13
2023-07-13 14:20:02,1.68,17.05
2023-07-13 14:20:05,4.01,5.07
2023-07-13 14:20:07,3.53,10.47
2023-07-13 14:20:10,4.83,6.54
2023-07-13 14:20:12,4.89,22.08
2023-07-13 14:20:15,1.92,5.78
2023-07-13 14:20:17,72.08,10.81
2023-07-13 14:20:20,2.16,2.74
2023-07-13 14:20:22,108.49,131.55
2023-07-13 14:20:25,4.38,22.64
2023-07-13 14:20:27,15.9,17.27
2023-07-13 14:20:30,3.07,20.39
2023-07-13 14:20:32,6.84,41.18
2023-07-13 14:20:35,9.45,5.48
2023-07-13 14:20:37,5,12.56
2023-07-13 14:20:40,6.15,17.9
2023-07-13 14:20:42,8.37,35.44
2023-07-13 14:20:45,5.02,10.17
2023-07-13 14:20:47,3.78,9.93
2023-07-13 14:20:50,202.68,230.18
2023-07-13 14:20:52,5.11,35.45
2023-07-13 14:20:55,3.23,18.01
2023-07-13 14:20:57,3.4,26.93
2023-07-13 14:21:00,7.58,54.82
2023-07-13 14:21:02,5.98,11.32
2023-07-13 14:21:05,2.91,23.82
2023-07-13 14:21:07,10.27,11.01
2023-07-13 14:21:10,4.21,9.85
2023-07-13 14:21:12,17.99,63.05
2023-07-13 14:21:15,2.82,6.82
2023-07-13 14:21:17,14.78,62.71
2023-07-13 14:21:20,3.2,6.12
2023-07-13 14:21:22,5,5.34
2023-07-13 14:21:25,5.75,19.09
2023-07-13 14:21:27,19.99,49.66
2023-07-13 14:21:30,2.98,13.83
2023-07-13 14:21:32,1.76,2.59
2023-07-13 14:21:35,1.83,5.32
2023-07-13 14:21:37,2.56,18.74
2023-07-13 14:21:40,4.25,4.51
2023-07-13 14:21:42,3.89,7.72
2023-07-13 14:21:45,7.07,2.85
2023-07-13 14:21:47,1.8,13.97
2023-07-13 14:21:50,2.2,11.58
2023-07-13 14:21:52,5.15,14.88
2023-07-13 14:21:55,4.2,18.09
2023-07-13 14:21:57,5.97,11.77
2023-07-13 14:22:00,5.14,3.51
2023-07-13 14:22:02,4.05,8.05
2023-07-13 14:22:05,1.95,3.79
2023-07-13 14:22:07,3.96,2.9
2023-07-13 14:22:10,5.66,19.45
2023-07-13 14:22:12,2.16,6.05
2023-07-13 14:22:15,3.31,12.4
2023-07-13 14:22:17,3.49,9.27
2023-07-13 14:22:20,3.97,26.26
2023-07-13 14:22:22,1.72,4.11
2023-07-13 14:22:25,3.91,8
2023-07-13 14:22:27,3.46,9.87
2023-07-13 14:22:30,1.81,4.24
2023-07-13 14:22:32,121.66,156.37
2023-07-13 14:22:35,57.54,87.44
2023-07-13 14:22:37,3.21,7.36
2023-07-13 14:22:40,2.65,45.96
2023-07-13 14:22:42,2.57,15.29
2023-07-13 14:22:45,3.49,5.74
2023-07-13 14:22:47,2.94,14.34
2023-07-13 14:22:50,21,7.9
2023-07-13 14:22:52,8.36,9.25
2023-07-13 14:22:55,1.72,12.66
2023-07-13 14:22:57,10.12,9.33
2023-07-13 14:23:00,18.98,40.14
2023-07-13 14:23:02,12.76,12.73
2023-07-13 14:23:05,2.16,7.77
2023-07-13 14:23:07,2.09,8.71
2023-07-13 14:23:10,3.54,15.48
2023-07-13 14:23:12,3.62,19.16
2023-07-13 14:23:15,3.4,17.98
2023-07-13 14:23:17,1.76,7.3
2023-07-13 14:23:20,6.89,4.6
2023-07-13 14:23:22,13.62,17.33
2023-07-13 14:23:25,1.89,9.09
2023-07-13 14:23:27,13.78,39.04
2023-07-13 14:23:30,1.63,7.45
2023-07-13 14:23:32,10.69,7.18
2023-07-13 14:23:35,3.46,8.16
2023-07-13 14:23:37,4.43,9.84
2023-07-13 14:23:40,11.45,18.27
2023-07-13 14:23:43,13.59,6.21
2023-07-13 14:23:45,8.35,20.12
2023-07-13 14:23:48,2.54,10.28
2023-07-13 14:23:50,6.38,19.25
2023-07-13 14:23:53,1.91,14.02
2023-07-13 14:23:55,3.18,11.43
2023-07-13 14:23:58,2.15,10.63
2023-07-13 14:24:00,1.66,5.54
2023-07-13 14:24:03,3.86,7.13
2023-07-13 14:24:03,3.86,7.13
